Raw,Time,Amplitude
b'4\r\n',7.5325849,4
b'5\r\n',7.5328441,5
b'5\r\n',7.5331011,5
b'5\r\n',7.5333568,5
b'5\r\n',7.5336095,5
b'6\r\n',7.53386,6
b'6\r\n',7.5341126,6
b'235\r\n',7.534541,235
b'248\r\n',7.5349629,248
b'248\r\n',7.5353845,248
b'248\r\n',7.5358013,248
b'18\r\n',7.5361545,18
b'7\r\n',7.5364237,7
b'7\r\n',7.5367881,7
b'6\r\n',7.537054,6
b'6\r\n',7.5373088,6
b'6\r\n',7.537567,6
b'6\r\n',7.5378211,6
b'5\r\n',7.5380744,5
b'5\r\n',7.5383312,5
b'5\r\n',7.5385852,5
b'5\r\n',7.5388398,5
b'119\r\n',7.5392568,119
b'248\r\n',7.5396725,248
b'248\r\n',7.5400875,248
b'248\r\n',7.5405447,248
b'25\r\n',7.5408822,25
b'5\r\n',7.5411401,5
b'5\r\n',7.5413986,5
b'5\r\n',7.5416554,5
b'5\r\n',7.5419078,5
b'6\r\n',7.5421622,6
b'6\r\n',7.5424139,6
b'6\r\n',7.5426654,6
b'6\r\n',7.5429167,6
b'6\r\n',7.5431684,6
b'6\r\n',7.5434203,6
b'6\r\n',7.5436717,6
b'248\r\n',7.5440872,248
b'248\r\n',7.5445325,248
b'248\r\n',7.5454608,248
b'248\r\n',7.5457612,248
b'8\r\n',7.5459199,8
b'6\r\n',7.5460764,6
b'6\r\n',7.5462302,6
b'6\r\n',7.5463846,6
b'5\r\n',7.5465378,5
b'5\r\n',7.5466918,5
b'5\r\n',7.5468516,5
b'4\r\n',7.5470057,4
b'4\r\n',7.5471578,4
b'4\r\n',7.5473093,4
b'3\r\n',7.5474608,3
b'248\r\n',7.5477111,248
b'248\r\n',7.5479598,248
b'248\r\n',7.5483682,248
b'248\r\n',7.548804,248
b'13\r\n',7.5490092,13
b'6\r\n',7.5491616,6
b'6\r\n',7.5493147,6
b'6\r\n',7.5494679,6
b'6\r\n',7.5496192,6
b'6\r\n',7.5497702,6
b'6\r\n',7.5499301,6
b'6\r\n',7.5500819,6
b'7\r\n',7.5502343,7
b'6\r\n',7.5503854,6
b'7\r\n',7.5505365,7
b'231\r\n',7.5507877,231
b'248\r\n',7.551038,248
b'248\r\n',7.5512906,248
b'248\r\n',7.5515416,248
b'18\r\n',7.5517454,18
b'5\r\n',7.5529395,5
b'5\r\n',7.5531088,5
b'4\r\n',7.5532627,4
b'4\r\n',7.5534136,4
b'4\r\n',7.553564,4
b'3\r\n',7.5537184,3
b'3\r\n',7.5538706,3
b'3\r\n',7.554022,3
b'4\r\n',7.5541725,4
b'4\r\n',7.5543232,4
b'105\r\n',7.5545726,105
b'248\r\n',7.554822,248
b'248\r\n',7.5550692,248
b'248\r\n',7.5567745,248
b'28\r\n',7.5571188,28
b'7\r\n',7.557273,7
b'6\r\n',7.5574247,6
b'6\r\n',7.5575752,6
b'6\r\n',7.5577257,6
b'7\r\n',7.5578766,7
b'7\r\n',7.5580262,7
b'6\r\n',7.5581762,6
b'7\r\n',7.5583288,7
b'7\r\n',7.5584782,7
b'6\r\n',7.5586276,6
b'6\r\n',7.558777,6
b'248\r\n',7.5590244,248
b'248\r\n',7.55928,248
b'248\r\n',7.5616282,248
b'248\r\n',7.5619138,248
b'6\r\n',7.5620817,6
b'4\r\n',7.5622475,4
b'4\r\n',7.562413,4
b'3\r\n',7.5625784,3
b'3\r\n',7.5627436,3
b'4\r\n',7.5629085,4
b'4\r\n',7.5630796,4
b'4\r\n',7.5632467,4
b'4\r\n',7.5634162,4
b'5\r\n',7.5635806,5
b'5\r\n',7.5637444,5
b'248\r\n',7.5640173,248
b'248\r\n',7.5652102,248
b'247\r\n',7.5655928,247
b'247\r\n',7.565903,247
b'13\r\n',7.5661347,13
b'7\r\n',7.566312,7
b'7\r\n',7.5664918,7
b'7\r\n',7.566679,7
b'6\r\n',7.5668642,6
b'7\r\n',7.5670373,7
b'6\r\n',7.5672049,6
b'6\r\n',7.5673717,6
b'6\r\n',7.567539,6
b'6\r\n',7.5677066,6
b'6\r\n',7.5689848,6
b'226\r\n',7.5694816,226
b'248\r\n',7.5697696,248
b'248\r\n',7.5700524,248
b'248\r\n',7.5703518,248
b'16\r\n',7.5705862,16
b'4\r\n',7.5707578,4
b'4\r\n',7.5709277,4
b'4\r\n',7.5710996,4
b'4\r\n',7.5712703,4
b'4\r\n',7.5714414,4
b'5\r\n',7.5716141,5
b'5\r\n',7.5717865,5
b'5\r\n',7.5730065,5
b'6\r\n',7.5733112,6
b'6\r\n',7.5734855,6
b'126\r\n',7.5737746,126
b'248\r\n',7.5740604,248
b'248\r\n',7.574344,248
b'248\r\n',7.5746313,248
b'30\r\n',7.5748606,30
b'7\r\n',7.5750364,7
b'7\r\n',7.5752126,7
b'7\r\n',7.5753878,7
b'6\r\n',7.5755607,6
b'6\r\n',7.5757348,6
b'6\r\n',7.5769957,6
b'6\r\n',7.577283,6
b'5\r\n',7.5774535,5
b'5\r\n',7.5776267,5
b'4\r\n',7.577796,4
b'4\r\n',7.5779624,4
b'248\r\n',7.5782368,248
b'248\r\n',7.5785105,248
b'248\r\n',7.5787849,248
b'248\r\n',7.5790573,248
b'6\r\n',7.5792216,6
b'5\r\n',7.5793928,5
b'5\r\n',7.5795713,5
b'5\r\n',7.5797445,5
b'5\r\n',7.5813247,5
b'6\r\n',7.5815147,6
b'6\r\n',7.5816924,6
b'6\r\n',7.5818686,6
b'6\r\n',7.5820458,6
b'6\r\n',7.5822205,6
b'6\r\n',7.582395,6
b'247\r\n',7.5826859,247
b'248\r\n',7.5829777,248
b'248\r\n',7.5832757,248
b'248\r\n',7.583569,248
b'13\r\n',7.5838024,13
b'6\r\n',7.5839825,6
b'6\r\n',7.5853736,6
b'6\r\n',7.5855606,6
b'5\r\n',7.5857386,5
b'5\r\n',7.5859211,5
b'4\r\n',7.5860945,4
b'4\r\n',7.586266,4
b'4\r\n',7.5864366,4
b'3\r\n',7.5866071,3
b'3\r\n',7.5867768,3
b'214\r\n',7.5870615,214
b'248\r\n',7.5873456,248
b'248\r\n',7.5876272,248
b'248\r\n',7.5879022,248
b'18\r\n',7.5896856,18
b'6\r\n',7.5898493,6
b'6\r\n',7.5900031,6
b'6\r\n',7.5901565,6
b'6\r\n',7.590305,6
b'6\r\n',7.5904531,6
b'6\r\n',7.5906006,6
b'6\r\n',7.5907469,6
b'6\r\n',7.5908951,6
b'7\r\n',7.5910422,7
b'7\r\n',7.5911887,7
b'104\r\n',7.5914374,104
b'248\r\n',7.5916791,248
b'248\r\n',7.5919245,248
b'248\r\n',7.5939625,248
b'31\r\n',7.5941995,31
b'6\r\n',7.5943648,6
b'5\r\n',7.5945402,5
b'4\r\n',7.5946949,4
b'4\r\n',7.5948454,4
b'4\r\n',7.5949951,4
b'4\r\n',7.5951445,4
b'3\r\n',7.5952929,3
b'3\r\n',7.5954419,3
b'4\r\n',7.5955921,4
b'4\r\n',7.5957418,4
b'3\r\n',7.59589,3
b'247\r\n',7.5961349,247
b'248\r\n',7.5980083,248
b'248\r\n',7.598267,248
b'248\r\n',7.5985158,248
b'8\r\n',7.5986736,8
b'6\r\n',7.5988232,6
b'6\r\n',7.5989711,6
b'6\r\n',7.5991211,6
b'6\r\n',7.5992708,6
b'7\r\n',7.599418,7
b'7\r\n',7.5995663,7
b'7\r\n',7.5997148,7
b'7\r\n',7.5998626,7
b'6\r\n',7.6000104,6
b'6\r\n',7.6001573,6
b'248\r\n',7.602035,248
b'248\r\n',7.6022924,248
b'248\r\n',7.6025397,248
b'248\r\n',7.602785,248
b'12\r\n',7.6029804,12
b'4\r\n',7.6031267,4
b'4\r\n',7.6032736,4
b'3\r\n',7.6034237,3
b'3\r\n',7.6035719,3
b'3\r\n',7.6037201,3
b'4\r\n',7.603869,4
b'4\r\n',7.6040173,4
b'4\r\n',7.6041649,4
b'5\r\n',7.6058878,5
b'5\r\n',7.6061754,5
b'210\r\n',7.606425,210
b'248\r\n',7.6066841,248
b'248\r\n',7.6069296,248
b'248\r\n',7.6071725,248
b'20\r\n',7.6073685,20
b'7\r\n',7.607516,7
b'7\r\n',7.6076631,7
b'7\r\n',7.6078107,7
b'6\r\n',7.6079578,6
b'7\r\n',7.6081078,7
b'6\r\n',7.6082549,6
b'6\r\n',7.6084023,6
b'6\r\n',7.6101016,6
b'6\r\n',7.6102614,6
b'6\r\n',7.6104162,6
b'81\r\n',7.6106189,81
b'248\r\n',7.6108686,248
b'248\r\n',7.6111199,248
b'248\r\n',7.6113696,248
b'110\r\n',7.6116182,110
b'4\r\n',7.6117694,4
b'4\r\n',7.61192,4
b'4\r\n',7.6120699,4
b'4\r\n',7.6122201,4
b'4\r\n',7.6123698,4
b'5\r\n',7.6142606,5
b'5\r\n',7.6144191,5
b'5\r\n',7.6145686,5
b'6\r\n',7.6147175,6
b'6\r\n',7.6148645,6
b'6\r\n',7.6150119,6
b'248\r\n',7.6152596,248
b'248\r\n',7.6155138,248
b'248\r\n',7.6157587,248
b'248\r\n',7.6160068,248
b'9\r\n',7.6161534,9
b'7\r\n',7.6163003,7
b'6\r\n',7.6164459,6
b'6\r\n',7.6183258,6
b'6\r\n',7.6184886,6
b'6\r\n',7.6186441,6
b'5\r\n',7.6187947,5
b'5\r\n',7.6189456,5
b'5\r\n',7.6190952,5
b'4\r\n',7.6192436,4
b'4\r\n',7.6193934,4
b'248\r\n',7.6196389,248
b'248\r\n',7.6198827,248
b'248\r\n',7.6201272,248
b'248\r\n',7.6203854,248
b'13\r\n',7.6205835,13
b'5\r\n',7.6224351,5
b'5\r\n',7.6225983,5
b'5\r\n',7.6227503,5
b'5\r\n',7.6228995,5
b'6\r\n',7.6230476,6
b'6\r\n',7.623195,6
b'6\r\n',7.6233417,6
b'6\r\n',7.6234886,6
b'6\r\n',7.6236356,6
b'6\r\n',7.6237833,6
b'214\r\n',7.6240285,214
b'248\r\n',7.6242713,248
b'248\r\n',7.6245181,248
b'248\r\n',7.6262371,248
b'21\r\n',7.6265512,21
b'6\r\n',7.626704,6
b'6\r\n',7.626855,6
b'5\r\n',7.6270067,5
b'5\r\n',7.6271567,5
b'5\r\n',7.6273066,5
b'4\r\n',7.6274554,4
b'4\r\n',7.6276046,4
b'4\r\n',7.6277559,4
b'4\r\n',7.6279056,4
b'3\r\n',7.6280542,3
b'40\r\n',7.6282506,40
b'248\r\n',7.6285006,248
b'248\r\n',7.6305225,248
b'248\r\n',7.6309047,248
b'123\r\n',7.6311571,123
b'6\r\n',7.6313066,6
b'6\r\n',7.6314544,6
b'6\r\n',7.6316029,6
b'6\r\n',7.6317546,6
b'6\r\n',7.6319028,6
b'6\r\n',7.6320612,6
b'6\r\n',7.6322149,6
b'7\r\n',7.632365,7
b'7\r\n',7.6325141,7
b'7\r\n',7.6327056,7
b'6\r\n',7.632874,6
b'248\r\n',7.6345071,248
b'248\r\n',7.6348868,248
b'248\r\n',7.6351374,248
b'247\r\n',7.6353832,247
b'7\r\n',7.6355357,7
b'5\r\n',7.635683,5
b'4\r\n',7.6358312,4
b'4\r\n',7.6359785,4
b'4\r\n',7.6361248,4
b'4\r\n',7.6362716,4
b'3\r\n',7.6364221,3
b'3\r\n',7.6365684,3
b'3\r\n',7.6367152,3
b'4\r\n',7.6368711,4
b'4\r\n',7.6370194,4
b'247\r\n',7.6389572,247
b'248\r\n',7.6392167,248
b'247\r\n',7.6394627,247
b'247\r\n',7.6397068,247
b'14\r\n',7.6399035,14
b'7\r\n',7.6400513,7
b'6\r\n',7.6402009,6
b'6\r\n',7.6403509,6
b'7\r\n',7.6404977,7
b'6\r\n',7.6408025,6
b'7\r\n',7.6410165,7
b'7\r\n',7.6412537,7
b'7\r\n',7.6414366,7
b'7\r\n',7.6430111,7
b'6\r\n',7.6431774,6
b'208\r\n',7.6434259,208
b'248\r\n',7.6436707,248
b'248\r\n',7.6439185,248
b'248\r\n',7.6441662,248
b'19\r\n',7.6443624,19
b'4\r\n',7.6445102,4
b'4\r\n',7.6446577,4
b'3\r\n',7.6448056,3
b'3\r\n',7.6449545,3
b'4\r\n',7.6451027,4
b'4\r\n',7.6452496,4
b'4\r\n',7.6471248,4
b'4\r\n',7.647286,4
b'5\r\n',7.6474369,5
b'5\r\n',7.6475862,5
b'71\r\n',7.647783,71
b'248\r\n',7.6480293,248
b'248\r\n',7.6482726,248
b'248\r\n',7.6485142,248
b'132\r\n',7.6488923,132
b'7\r\n',7.6490753,7
b'7\r\n',7.6492545,7
b'7\r\n',7.649416,7
b'7\r\n',7.6495665,7
b'7\r\n',7.6511534,7
b'6\r\n',7.6513134,6
b'6\r\n',7.6514628,6
b'6\r\n',7.6516113,6
b'6\r\n',7.6517595,6
b'5\r\n',7.6519075,5
b'4\r\n',7.6520547,4
b'248\r\n',7.6522971,248
b'248\r\n',7.6525444,248
b'248\r\n',7.652787,248
b'248\r\n',7.6530278,248
b'6\r\n',7.6531754,6
b'4\r\n',7.6533232,4
b'4\r\n',7.6551913,4
b'4\r\n',7.6553566,4
b'4\r\n',7.6555097,4
b'5\r\n',7.6556599,5
b'5\r\n',7.6558083,5
b'5\r\n',7.6559586,5
b'5\r\n',7.6561075,5
b'6\r\n',7.6562559,6
b'6\r\n',7.6564039,6
b'247\r\n',7.6566702,247
b'248\r\n',7.6569289,248
b'248\r\n',7.6571748,248
b'248\r\n',7.6574173,248
b'15\r\n',7.6593087,15
b'7\r\n',7.6594728,7
b'7\r\n',7.6596236,7
b'6\r\n',7.6597714,6
b'6\r\n',7.6599198,6
b'6\r\n',7.6600671,6
b'5\r\n',7.6602139,5
b'5\r\n',7.6603614,5
b'5\r\n',7.6605075,5
b'4\r\n',7.6606544,4
b'4\r\n',7.6608015,4
b'195\r\n',7.6610445,195
b'248\r\n',7.6612927,248
b'248\r\n',7.6615385,248
b'248\r\n',7.663483,248
b'19\r\n',7.6636903,19
b'5\r\n',7.66384,5
b'5\r\n',7.6639888,5
b'5\r\n',7.6641388,5
b'5\r\n',7.6642887,5
b'6\r\n',7.6644424,6
b'6\r\n',7.6645939,6
b'6\r\n',7.665189,6
b'6\r\n',7.6654023,6
b'6\r\n',7.6655836,6
b'6\r\n',7.6657565,6
b'54\r\n',7.6659907,54
b'248\r\n',7.6662634,248
b'248\r\n',7.6675226,248
b'248\r\n',7.6677859,248
b'123\r\n',7.6680334,123
b'7\r\n',7.6681815,7
b'6\r\n',7.6683289,6
b'5\r\n',7.6684761,5
b'5\r\n',7.6686277,5
b'5\r\n',7.6687757,5
b'4\r\n',7.6689232,4
b'4\r\n',7.6690708,4
b'4\r\n',7.6692189,4
b'3\r\n',7.6693663,3
b'3\r\n',7.6695131,3
b'3\r\n',7.6696598,3
b'248\r\n',7.6716193,248
b'248\r\n',7.6718734,248
b'248\r\n',7.6721228,248
b'248\r\n',7.6723697,248
b'8\r\n',7.6725164,8
b'6\r\n',7.6726892,6
b'6\r\n',7.672852,6
b'6\r\n',7.673001,6
b'6\r\n',7.6731498,6
b'6\r\n',7.6732985,6
b'7\r\n',7.6734476,7
b'6\r\n',7.6735987,6
b'6\r\n',7.6737477,6
b'6\r\n',7.6738958,6
b'7\r\n',7.6757297,7
b'247\r\n',7.6759842,247
b'248\r\n',7.6762322,248
b'248\r\n',7.6764787,248
b'248\r\n',7.6767211,248
b'14\r\n',7.6769159,14
b'5\r\n',7.6770627,5
b'4\r\n',7.6772106,4
b'4\r\n',7.677358,4
b'4\r\n',7.6775044,4
b'3\r\n',7.6776508,3
b'3\r\n',7.6777995,3
b'3\r\n',7.6779528,3
b'4\r\n',7.6798657,4
b'4\r\n',7.6800247,4
b'4\r\n',7.6801776,4
b'186\r\n',7.6804272,186
b'248\r\n',7.680783,248
b'248\r\n',7.6810875,248
b'248\r\n',7.6813685,248
b'22\r\n',7.6815684,22
b'7\r\n',7.6817194,7
b'6\r\n',7.6818694,6
b'7\r\n',7.6820215,7
b'7\r\n',7.6821714,7
b'7\r\n',7.682321,7
b'7\r\n',7.6839982,7
b'6\r\n',7.6841564,6
b'7\r\n',7.6843101,7
b'6\r\n',7.6844593,6
b'6\r\n',7.6846074,6
b'28\r\n',7.6848039,28
b'248\r\n',7.6850488,248
b'248\r\n',7.6852923,248
b'248\r\n',7.6855345,248
b'131\r\n',7.6857831,131
b'5\r\n',7.6859307,5
b'4\r\n',7.6860769,4
b'3\r\n',7.6862235,3
b'3\r\n',7.6879299,3
b'4\r\n',7.6880955,4
b'4\r\n',7.6882477,4
b'4\r\n',7.688399,4
b'4\r\n',7.6885469,4
b'5\r\n',7.6887259,5
b'5\r\n',7.6888858,5
b'5\r\n',7.6890351,5
b'248\r\n',7.6892828,248
b'248\r\n',7.6895295,248
b'248\r\n',7.689776,248
b'248\r\n',7.6900188,248
b'9\r\n',7.6901664,9
b'7\r\n',7.6918796,7
b'7\r\n',7.6921616,7
b'6\r\n',7.6923173,6
b'6\r\n',7.6924661,6
b'6\r\n',7.6926136,6
b'6\r\n',7.6927662,6
b'6\r\n',7.6929158,6
b'6\r\n',7.6930651,6
b'5\r\n',7.6932143,5
b'5\r\n',7.6933673,5
b'247\r\n',7.6936112,247
b'248\r\n',7.6938558,248
b'248\r\n',7.6940985,248
b'247\r\n',7.6943418,247
b'13\r\n',7.6962821,13
b'4\r\n',7.6964377,4
b'4\r\n',7.6965883,4
b'4\r\n',7.6969789,4
b'5\r\n',7.6971627,5
b'5\r\n',7.6973486,5
b'5\r\n',7.6975291,5
b'5\r\n',7.6977156,5
b'5\r\n',7.6978872,5
b'6\r\n',7.6980593,6
b'6\r\n',7.6982253,6
b'200\r\n',7.6984828,200
b'248\r\n',7.6987325,248
b'248\r\n',7.7001435,248
b'248\r\n',7.7005298,248
b'23\r\n',7.7007333,23
b'7\r\n',7.700882,7
b'6\r\n',7.7010339,6
b'6\r\n',7.7011815,6
b'6\r\n',7.7013304,6
b'6\r\n',7.7014788,6
b'5\r\n',7.7016279,5
b'5\r\n',7.7017765,5
b'5\r\n',7.7019244,5
b'4\r\n',7.702072,4
b'4\r\n',7.7022193,4
b'13\r\n',7.7024182,13
b'248\r\n',7.7041491,248
b'248\r\n',7.7045387,248
b'248\r\n',7.7048281,248
b'135\r\n',7.7050787,135
b'6\r\n',7.7052287,6
b'5\r\n',7.7053792,5
b'5\r\n',7.705528,5
b'6\r\n',7.705677,6
b'6\r\n',7.7058255,6
b'6\r\n',7.7059745,6
b'6\r\n',7.7061243,6
b'6\r\n',7.7062741,6
b'6\r\n',7.7064231,6
b'6\r\n',7.7065728,6
b'6\r\n',7.7082645,6
b'248\r\n',7.7086523,248
b'248\r\n',7.708899,248
b'248\r\n',7.7091429,248
b'247\r\n',7.7093884,247
b'8\r\n',7.7095363,8
b'6\r\n',7.7096836,6
b'6\r\n',7.7098303,6
b'5\r\n',7.7099796,5
b'5\r\n',7.7101258,5
b'4\r\n',7.7102723,4
b'4\r\n',7.7104191,4
b'4\r\n',7.7105645,4
b'4\r\n',7.7107101,4
b'3\r\n',7.712593,3
b'3\r\n',7.7129817,3
b'246\r\n',7.7132854,246
b'248\r\n',7.7135471,248
b'248\r\n',7.7138005,248
b'247\r\n',7.7140506,247
b'14\r\n',7.714252,14
b'6\r\n',7.7144043,6
b'6\r\n',7.7145555,6
b'6\r\n',7.7147089,6
b'6\r\n',7.7148648,6
b'6\r\n',7.7150156,6
b'6\r\n',7.7151656,6
b'6\r\n',7.7166964,6
b'7\r\n',7.7168664,7
b'7\r\n',7.7170169,7
b'6\r\n',7.7171658,6
b'198\r\n',7.717416,198
b'248\r\n',7.7176601,248
b'248\r\n',7.7179107,248
b'248\r\n',7.7181554,248
b'21\r\n',7.718353,21
b'5\r\n',7.7185012,5
b'4\r\n',7.718648,4
b'4\r\n',7.7187951,4
b'4\r\n',7.7189424,4
b'4\r\n',7.7206972,4
b'4\r\n',7.7208795,4
b'3\r\n',7.7211079,3
b'4\r\n',7.7212941,4
b'4\r\n',7.7214595,4
b'4\r\n',7.7216124,4
b'41\r\n',7.7218142,41
b'248\r\n',7.7220621,248
b'248\r\n',7.7223116,248
b'247\r\n',7.7225579,247
b'142\r\n',7.722803,142
b'7\r\n',7.722952,7
b'6\r\n',7.723101,6
b'6\r\n',7.724786,6
b'7\r\n',7.7249563,7
b'7\r\n',7.72511,7
b'7\r\n',7.725262,7
b'7\r\n',7.7254145,7
b'7\r\n',7.7255637,7
b'6\r\n',7.7257145,6
b'6\r\n',7.7258612,6
b'6\r\n',7.7260085,6
b'248\r\n',7.7262517,248
b'248\r\n',7.7264967,248
b'248\r\n',7.7267384,248
b'248\r\n',7.7269803,248
b'6\r\n',7.7288337,6
