Raw,Time,Amplitude
b'F8\r\n',7.2544876,248
b'F9\r\n',7.2546595,249
b'F9\r\n',7.254829,249
b'F9\r\n',7.254995,249
b'B2\r\n',7.2551614,178
b'6\r\n',7.2553132,6
b'5\r\n',7.2554197,5
b'4\r\n',7.2555595,4
b'4\r\n',7.2556675,4
b'5\r\n',7.2557718,5
b'4\r\n',7.2558749,4
b'5\r\n',7.2559776,5
b'5\r\n',7.2560792,5
b'5\r\n',7.2561828,5
b'6\r\n',7.2583111,6
b'6\r\n',7.2584794,6
b'F9\r\n',7.2586571,249
b'F9\r\n',7.2588179,249
b'F9\r\n',7.2589777,249
b'F9\r\n',7.2591419,249
b'F9\r\n',7.2593019,249
b'E\r\n',7.2594236,14
b'8\r\n',7.2595903,8
b'7\r\n',7.2597157,7
b'7\r\n',7.2598403,7
b'7\r\n',7.2599995,7
b'7\r\n',7.2601139,7
b'7\r\n',7.2602277,7
b'6\r\n',7.2623156,6
b'6\r\n',7.2625702,6
b'6\r\n',7.2627855,6
b'6\r\n',7.262894,6
b'4\r\n',7.2629978,4
b'F9\r\n',7.2631358,249
b'F8\r\n',7.2632736,248
b'F9\r\n',7.2635626,249
b'F9\r\n',7.2638243,249
b'BE\r\n',7.2639795,190
b'7\r\n',7.2641025,7
b'5\r\n',7.2642317,5
b'5\r\n',7.2643396,5
b'5\r\n',7.264463,5
b'5\r\n',7.264835,5
b'6\r\n',7.2668041,6
b'6\r\n',7.2669334,6
b'6\r\n',7.2670438,6
b'6\r\n',7.267153,6
b'7\r\n',7.267263,7
b'7\r\n',7.2674403,7
b'F8\r\n',7.2677036,248
b'F9\r\n',7.2678485,249
b'F9\r\n',7.2679855,249
b'F9\r\n',7.268127,249
b'F9\r\n',7.2682657,249
b'E\r\n',7.2683757,14
b'7\r\n',7.2685143,7
b'7\r\n',7.2686165,7
b'7\r\n',7.2706867,7
b'6\r\n',7.2708914,6
b'6\r\n',7.2709965,6
b'6\r\n',7.2710998,6
b'5\r\n',7.2712051,5
b'5\r\n',7.2713083,5
b'5\r\n',7.2714156,5
b'5\r\n',7.271518,5
b'4\r\n',7.2716199,4
b'F9\r\n',7.2717557,249
b'F9\r\n',7.2718902,249
b'F9\r\n',7.2720249,249
b'F9\r\n',7.2721599,249
b'CA\r\n',7.2722958,202
b'8\r\n',7.2724004,8
b'6\r\n',7.2749384,6
b'6\r\n',7.2750504,6
b'6\r\n',7.2751551,6
b'6\r\n',7.2752683,6
b'6\r\n',7.2753734,6
b'7\r\n',7.2755139,7
b'7\r\n',7.2756196,7
b'7\r\n',7.2757251,7
b'7\r\n',7.2758307,7
b'7\r\n',7.2759338,7
b'F8\r\n',7.276072,248
b'F9\r\n',7.2762105,249
b'F9\r\n',7.2763464,249
b'F9\r\n',7.2764825,249
b'F9\r\n',7.2790383,249
b'E\r\n',7.2791583,14
b'7\r\n',7.2792674,7
b'6\r\n',7.2793764,6
b'5\r\n',7.2795057,5
b'5\r\n',7.279607,5
b'5\r\n',7.2797126,5
b'5\r\n',7.2798143,5
b'4\r\n',7.2799159,4
b'4\r\n',7.2800171,4
b'4\r\n',7.2801622,4
b'4\r\n',7.2802857,4
b'4\r\n',7.2804021,4
b'F9\r\n',7.2813781,249
b'F8\r\n',7.281593,248
b'F9\r\n',7.2829158,249
b'F9\r\n',7.2830844,249
b'D9\r\n',7.2832544,217
b'9\r\n',7.2833812,9
b'7\r\n',7.2835412,7
b'7\r\n',7.2836682,7
b'7\r\n',7.2837879,7
b'7\r\n',7.2839149,7
b'7\r\n',7.2840358,7
b'7\r\n',7.2841583,7
b'7\r\n',7.284283,7
b'7\r\n',7.2844062,7
b'7\r\n',7.2845508,7
b'7\r\n',7.2847475,7
b'F9\r\n',7.2849012,249
b'F9\r\n',7.2870978,249
b'F9\r\n',7.2872482,249
b'F9\r\n',7.2874286,249
b'F8\r\n',7.2876073,248
b'E\r\n',7.2877119,14
b'6\r\n',7.2878283,6
b'5\r\n',7.288017,5
b'4\r\n',7.2881323,4
b'4\r\n',7.2882386,4
b'4\r\n',7.2883409,4
b'4\r\n',7.2884426,4
b'4\r\n',7.2885489,4
b'5\r\n',7.288687,5
b'5\r\n',7.2887881,5
b'5\r\n',7.2888971,5
b'5\r\n',7.2913681,5
b'F9\r\n',7.2915621,249
b'F9\r\n',7.2917085,249
b'F9\r\n',7.2918581,249
b'F9\r\n',7.2920387,249
b'E2\r\n',7.2921848,226
b'9\r\n',7.2922932,9
b'7\r\n',7.2924003,7
b'7\r\n',7.2925082,7
b'7\r\n',7.2926491,7
b'7\r\n',7.2927507,7
b'7\r\n',7.292852,7
b'7\r\n',7.2929535,7
b'7\r\n',7.2930693,7
b'7\r\n',7.2953271,7
b'7\r\n',7.2954487,7
b'7\r\n',7.2955933,7
b'F8\r\n',7.2957363,248
b'F9\r\n',7.2958846,249
b'F9\r\n',7.2960271,249
b'F9\r\n',7.2961689,249
b'F9\r\n',7.2963143,249
b'D\r\n',7.296422,13
b'5\r\n',7.2966552,5
b'4\r\n',7.2970017,4
b'4\r\n',7.2971232,4
b'4\r\n',7.2972373,4
b'5\r\n',7.2975932,5
b'5\r\n',7.2977515,5
b'5\r\n',7.2994807,5
b'5\r\n',7.2996339,5
b'6\r\n',7.2997462,6
b'6\r\n',7.2999767,6
b'6\r\n',7.300092,6
b'F9\r\n',7.3002438,249
b'F9\r\n',7.3003965,249
b'F9\r\n',7.3005458,249
b'F8\r\n',7.300739,248
b'E1\r\n',7.3008913,225
b'9\r\n',7.301105,9
