Raw,Time,Amplitude
b'13\r\n',2021-09-18 12:03:42.399622,13
b'14\r\n',2021-09-18 12:03:42.400636,14
b'15\r\n',2021-09-18 12:03:42.400636,15
b'15\r\n',2021-09-18 12:03:42.400636,15
b'16\r\n',2021-09-18 12:03:42.401634,16
b'17\r\n',2021-09-18 12:03:42.401634,17
b'19\r\n',2021-09-18 12:03:42.401634,19
b'18\r\n',2021-09-18 12:03:42.402633,18
b'20\r\n',2021-09-18 12:03:42.403802,20
b'21\r\n',2021-09-18 12:03:42.403802,21
b'21\r\n',2021-09-18 12:03:42.403802,21
b'21\r\n',2021-09-18 12:03:42.404808,21
b'22\r\n',2021-09-18 12:03:42.404808,22
b'22\r\n',2021-09-18 12:03:42.404808,22
b'22\r\n',2021-09-18 12:03:42.405807,22
b'23\r\n',2021-09-18 12:03:42.405807,23
b'23\r\n',2021-09-18 12:03:42.405807,23
b'23\r\n',2021-09-18 12:03:42.406808,23
b'23\r\n',2021-09-18 12:03:42.406808,23
b'23\r\n',2021-09-18 12:03:42.406808,23
b'24\r\n',2021-09-18 12:03:42.407805,24
b'23\r\n',2021-09-18 12:03:42.407805,23
b'22\r\n',2021-09-18 12:03:42.408809,22
b'22\r\n',2021-09-18 12:03:42.408809,22
b'22\r\n',2021-09-18 12:03:42.409812,22
b'21\r\n',2021-09-18 12:03:42.409812,21
b'19\r\n',2021-09-18 12:03:42.409812,19
b'19\r\n',2021-09-18 12:03:42.410808,19
b'17\r\n',2021-09-18 12:03:42.410808,17
b'17\r\n',2021-09-18 12:03:42.410808,17
b'15\r\n',2021-09-18 12:03:42.411809,15
b'14\r\n',2021-09-18 12:03:42.411809,14
b'15\r\n',2021-09-18 12:03:42.411809,15
b'13\r\n',2021-09-18 12:03:42.412809,13
b'12\r\n',2021-09-18 12:03:42.412809,12
b'12\r\n',2021-09-18 12:03:42.413809,12
b'13\r\n',2021-09-18 12:03:42.413809,13
b'14\r\n',2021-09-18 12:03:42.413809,14
b'30\r\n',2021-09-18 12:03:42.414809,30
b'372\r\n',2021-09-18 12:03:42.414809,372
b'382\r\n',2021-09-18 12:03:42.415810,382
b'379\r\n',2021-09-18 12:03:42.415810,379
b'378\r\n',2021-09-18 12:03:42.415810,378
b'376\r\n',2021-09-18 12:03:42.416810,376
b'373\r\n',2021-09-18 12:03:42.416810,373
b'373\r\n',2021-09-18 12:03:42.417810,373
b'372\r\n',2021-09-18 12:03:42.417810,372
b'370\r\n',2021-09-18 12:03:42.418811,370
b'369\r\n',2021-09-18 12:03:42.418811,369
b'368\r\n',2021-09-18 12:03:42.419811,368
b'368\r\n',2021-09-18 12:03:42.419811,368
b'368\r\n',2021-09-18 12:03:42.419811,368
b'367\r\n',2021-09-18 12:03:42.420811,367
b'364\r\n',2021-09-18 12:03:42.420811,364
b'361\r\n',2021-09-18 12:03:42.421811,361
b'357\r\n',2021-09-18 12:03:42.421811,357
b'355\r\n',2021-09-18 12:03:42.422812,355
b'352\r\n',2021-09-18 12:03:42.422812,352
b'350\r\n',2021-09-18 12:03:42.423812,350
b'350\r\n',2021-09-18 12:03:42.424812,350
b'352\r\n',2021-09-18 12:03:42.424812,352
b'354\r\n',2021-09-18 12:03:42.424812,354
b'357\r\n',2021-09-18 12:03:42.425810,357
b'359\r\n',2021-09-18 12:03:42.425810,359
b'361\r\n',2021-09-18 12:03:42.426811,361
b'362\r\n',2021-09-18 12:03:42.426811,362
b'364\r\n',2021-09-18 12:03:42.427811,364
b'365\r\n',2021-09-18 12:03:42.427811,365
b'366\r\n',2021-09-18 12:03:42.428812,366
b'366\r\n',2021-09-18 12:03:42.428812,366
b'365\r\n',2021-09-18 12:03:42.429811,365
b'365\r\n',2021-09-18 12:03:42.429811,365
b'363\r\n',2021-09-18 12:03:42.430812,363
b'361\r\n',2021-09-18 12:03:42.430812,361
b'358\r\n',2021-09-18 12:03:42.430812,358
