Amplitude,Time
997,2021-09-14 14:27:46.262846
997,2021-09-14 14:27:46.269845
997,2021-09-14 14:27:46.275848
997,2021-09-14 14:27:46.278850
877,2021-09-14 14:27:46.287849
741,2021-09-14 14:27:46.292852
648,2021-09-14 14:27:46.296870
582,2021-09-14 14:27:46.298871
533,2021-09-14 14:27:46.306853
496,2021-09-14 14:27:46.310857
470,2021-09-14 14:27:46.314855
451,2021-09-14 14:27:46.318857
435,2021-09-14 14:27:46.328860
421,2021-09-14 14:27:46.330858
407,2021-09-14 14:27:46.335861
395,2021-09-14 14:27:46.343860
388,2021-09-14 14:27:46.347862
382,2021-09-14 14:27:46.351862
362,2021-09-14 14:27:46.355863
357,2021-09-14 14:27:46.363870
996,2021-09-14 14:27:46.367872
996,2021-09-14 14:27:46.372871
996,2021-09-14 14:27:46.376871
626,2021-09-14 14:27:46.383872
464,2021-09-14 14:27:46.388874
404,2021-09-14 14:27:46.392877
373,2021-09-14 14:27:46.396874
364,2021-09-14 14:27:46.404879
350,2021-09-14 14:27:46.409880
997,2021-09-14 14:27:46.413883
997,2021-09-14 14:27:46.421887
996,2021-09-14 14:27:46.425883
559,2021-09-14 14:27:46.429885
440,2021-09-14 14:27:46.433884
390,2021-09-14 14:27:46.441886
373,2021-09-14 14:27:46.445887
356,2021-09-14 14:27:46.449892
995,2021-09-14 14:27:46.453893
998,2021-09-14 14:27:46.462896
997,2021-09-14 14:27:46.466895
792,2021-09-14 14:27:46.470894
510,2021-09-14 14:27:46.478896
419,2021-09-14 14:27:46.482898
387,2021-09-14 14:27:46.486902
364,2021-09-14 14:27:46.491903
355,2021-09-14 14:27:46.498902
997,2021-09-14 14:27:46.503905
997,2021-09-14 14:27:46.507904
996,2021-09-14 14:27:46.511907
669,2021-09-14 14:27:46.519906
473,2021-09-14 14:27:46.523912
411,2021-09-14 14:27:46.527913
377,2021-09-14 14:27:46.535909
362,2021-09-14 14:27:46.539915
354,2021-09-14 14:27:46.544917
997,2021-09-14 14:27:46.548917
997,2021-09-14 14:27:46.556917
996,2021-09-14 14:27:46.560917
583,2021-09-14 14:27:46.564919
451,2021-09-14 14:27:46.568923
395,2021-09-14 14:27:46.576936
372,2021-09-14 14:27:46.580925
361,2021-09-14 14:27:46.584926
990,2021-09-14 14:27:46.589927
997,2021-09-14 14:27:46.597929
997,2021-09-14 14:27:46.601929
862,2021-09-14 14:27:46.605931
529,2021-09-14 14:27:46.613934
427,2021-09-14 14:27:46.617935
387,2021-09-14 14:27:46.621936
369,2021-09-14 14:27:46.625933
352,2021-09-14 14:27:46.633932
996,2021-09-14 14:27:46.637934
997,2021-09-14 14:27:46.642938
996,2021-09-14 14:27:46.646939
714,2021-09-14 14:27:46.654940
486,2021-09-14 14:27:46.658942
412,2021-09-14 14:27:46.662942
380,2021-09-14 14:27:46.670944
358,2021-09-14 14:27:46.674947
353,2021-09-14 14:27:46.679946
997,2021-09-14 14:27:46.683946
996,2021-09-14 14:27:46.691952
996,2021-09-14 14:27:46.695951
613,2021-09-14 14:27:46.699954
455,2021-09-14 14:27:46.703954
396,2021-09-14 14:27:46.711956
363,2021-09-14 14:27:46.715960
352,2021-09-14 14:27:46.720963
338,2021-09-14 14:27:46.728198
996,2021-09-14 14:27:46.733335
996,2021-09-14 14:27:46.737395
965,2021-09-14 14:27:46.741453
540,2021-09-14 14:27:46.748690
421,2021-09-14 14:27:46.752820
366,2021-09-14 14:27:46.756949
345,2021-09-14 14:27:46.762080
327,2021-09-14 14:27:46.769187
996,2021-09-14 14:27:46.773317
997,2021-09-14 14:27:46.778338
996,2021-09-14 14:27:46.782416
765,2021-09-14 14:27:46.790695
486,2021-09-14 14:27:46.794485
387,2021-09-14 14:27:46.797754
351,2021-09-14 14:27:46.806057
327,2021-09-14 14:27:46.810180
312,2021-09-14 14:27:46.814561
996,2021-09-14 14:27:46.819316
997,2021-09-14 14:27:46.827436
998,2021-09-14 14:27:46.830444
643,2021-09-14 14:27:46.835447
444,2021-09-14 14:27:46.839812
378,2021-09-14 14:27:46.847053
343,2021-09-14 14:27:46.851054
324,2021-09-14 14:27:46.855055
319,2021-09-14 14:27:46.864061
997,2021-09-14 14:27:46.868063
997,2021-09-14 14:27:46.872063
996,2021-09-14 14:27:46.876062
561,2021-09-14 14:27:46.884079
428,2021-09-14 14:27:46.888064
371,2021-09-14 14:27:46.892064
345,2021-09-14 14:27:46.896066
338,2021-09-14 14:27:46.904064
993,2021-09-14 14:27:46.909067
996,2021-09-14 14:27:46.913067
997,2021-09-14 14:27:46.921074
829,2021-09-14 14:27:46.925071
515,2021-09-14 14:27:46.929070
417,2021-09-14 14:27:46.933071
377,2021-09-14 14:27:46.942076
363,2021-09-14 14:27:46.945077
349,2021-09-14 14:27:46.949075
996,2021-09-14 14:27:46.954096
997,2021-09-14 14:27:46.962093
997,2021-09-14 14:27:46.966081
692,2021-09-14 14:27:46.970082
482,2021-09-14 14:27:46.978083
409,2021-09-14 14:27:46.982085
382,2021-09-14 14:27:46.986085
361,2021-09-14 14:27:46.990087
354,2021-09-14 14:27:46.998087
996,2021-09-14 14:27:47.003089
997,2021-09-14 14:27:47.007091
997,2021-09-14 14:27:47.011092
601,2021-09-14 14:27:47.019093
453,2021-09-14 14:27:47.023095
402,2021-09-14 14:27:47.027096
371,2021-09-14 14:27:47.031096
361,2021-09-14 14:27:47.040100
953,2021-09-14 14:27:47.044100
996,2021-09-14 14:27:47.048101
996,2021-09-14 14:27:47.056103
912,2021-09-14 14:27:47.060103
537,2021-09-14 14:27:47.064105
435,2021-09-14 14:27:47.069107
388,2021-09-14 14:27:47.076109
370,2021-09-14 14:27:47.081110
358,2021-09-14 14:27:47.085110
996,2021-09-14 14:27:47.089120
997,2021-09-14 14:27:47.097112
996,2021-09-14 14:27:47.101114
739,2021-09-14 14:27:47.105115
498,2021-09-14 14:27:47.113116
415,2021-09-14 14:27:47.117120
384,2021-09-14 14:27:47.122119
366,2021-09-14 14:27:47.126133
352,2021-09-14 14:27:47.134123
997,2021-09-14 14:27:47.138123
997,2021-09-14 14:27:47.145127
997,2021-09-14 14:27:47.164130
637,2021-09-14 14:27:47.166136
464,2021-09-14 14:27:47.168133
406,2021-09-14 14:27:47.170132
378,2021-09-14 14:27:47.173134
359,2021-09-14 14:27:47.175134
356,2021-09-14 14:27:47.179134
996,2021-09-14 14:27:47.183134
996,2021-09-14 14:27:47.191143
997,2021-09-14 14:27:47.195138
560,2021-09-14 14:27:47.200140
442,2021-09-14 14:27:47.203140
395,2021-09-14 14:27:47.212143
368,2021-09-14 14:27:47.216142
361,2021-09-14 14:27:47.220144
995,2021-09-14 14:27:47.224143
997,2021-09-14 14:27:47.232148
996,2021-09-14 14:27:47.236148
798,2021-09-14 14:27:47.241150
512,2021-09-14 14:27:47.248149
424,2021-09-14 14:27:47.253153
383,2021-09-14 14:27:47.258171
369,2021-09-14 14:27:47.261155
355,2021-09-14 14:27:47.269156
996,2021-09-14 14:27:47.273157
997,2021-09-14 14:27:47.277159
997,2021-09-14 14:27:47.281158
672,2021-09-14 14:27:47.290177
477,2021-09-14 14:27:47.294163
406,2021-09-14 14:27:47.298165
381,2021-09-14 14:27:47.306166
362,2021-09-14 14:27:47.310167
352,2021-09-14 14:27:47.314168
996,2021-09-14 14:27:47.318168
997,2021-09-14 14:27:47.326171
997,2021-09-14 14:27:47.330171
588,2021-09-14 14:27:47.334172
447,2021-09-14 14:27:47.339175
400,2021-09-14 14:27:47.347176
371,2021-09-14 14:27:47.351177
358,2021-09-14 14:27:47.355178
990,2021-09-14 14:27:47.363179
997,2021-09-14 14:27:47.367179
998,2021-09-14 14:27:47.372184
869,2021-09-14 14:27:47.376184
527,2021-09-14 14:27:47.384187
432,2021-09-14 14:27:47.388187
387,2021-09-14 14:27:47.392189
367,2021-09-14 14:27:47.396189
358,2021-09-14 14:27:47.404191
